LSTAT,RM
4.98,6.575
9.14,6.421
4.03,7.185
2.94,6.998
5.33,7.147
5.21,6.43
12.43,6.012
19.15,6.172
29.93,5.631
17.1,6.004
20.45,6.377
13.27,6.009
15.71,5.889
8.26,5.949
10.26,6.096
8.47,5.834
6.58,5.935
14.67,5.99
11.69,5.456
11.28,5.727
21.02,5.57
13.83,5.965
18.72,6.142
19.88,5.813
16.3,5.924
16.51,5.599
14.81,5.813
17.28,6.047
12.8,6.495
11.98,6.674
22.6,5.713
13.04,6.072
27.71,5.95
18.35,5.701
20.34,6.096
9.68,5.933
11.41,5.841
8.77,5.85
10.13,5.966
4.32,6.595
1.98,7.024
4.84,6.77
5.81,6.169
7.44,6.211
9.55,6.069
10.21,5.682
14.15,5.786
18.8,6.03
30.81,5.399
16.2,5.602
13.45,5.963
9.43,6.115
5.28,6.511
8.43,5.998
14.8,5.888
4.81,7.249
5.77,6.383
3.95,6.816
6.86,6.145
9.22,5.927
13.15,5.741
14.44,5.966
6.73,6.456
9.5,6.762
8.05,7.104
4.67,6.29
10.24,5.787
8.1,5.878
13.09,5.594
8.79,5.885
6.72,6.417
9.88,5.961
5.52,6.065
7.54,6.245
6.78,6.273
8.94,6.286
11.97,6.279
10.27,6.14
12.34,6.232
9.1,5.874
5.29,6.727
7.22,6.619
6.72,6.302
7.51,6.167
9.62,6.389
6.53,6.63
12.86,6.015
8.44,6.121
5.5,7.007
5.7,7.079
8.81,6.417
8.2,6.405
8.16,6.442
6.21,6.211
10.59,6.249
6.65,6.625
11.34,6.163
4.21,8.069
3.57,7.82
6.19,7.416
9.42,6.727
7.67,6.781
10.63,6.405
13.44,6.137
12.33,6.167
16.47,5.851
18.66,5.836
14.09,6.127
12.27,6.474
15.55,6.229
13.0,6.195
10.16,6.715
16.21,5.913
17.09,6.092
10.45,6.254
15.76,5.928
12.04,6.176
10.3,6.021
15.37,5.872
13.61,5.731
14.37,5.87
14.27,6.004
17.93,5.961
25.41,5.856
17.58,5.879
14.81,5.986
27.26,5.613
17.19,5.693
15.39,6.431
18.34,5.637
12.6,6.458
12.26,6.326
11.12,6.372
15.03,5.822
17.31,5.757
16.96,6.335
16.9,5.942
14.59,6.454
21.32,5.857
18.46,6.151
24.16,6.174
34.41,5.019
26.82,5.403
26.42,5.468
29.29,4.903
27.8,6.13
16.65,5.628
29.53,4.926
28.32,5.186
21.45,5.597
14.1,6.122
13.28,5.404
12.12,5.012
15.79,5.709
15.12,6.129
15.02,6.152
16.14,5.272
4.59,6.943
6.43,6.066
7.39,6.51
5.5,6.25
1.73,7.489
1.92,7.802
3.32,8.375
11.64,5.854
9.81,6.101
3.7,7.929
12.14,5.877
11.1,6.319
11.32,6.402
14.43,5.875
12.03,5.88
14.69,5.572
9.04,6.416
9.64,5.859
5.33,6.546
10.11,6.02
6.29,6.315
6.92,6.86
5.04,6.98
7.56,7.765
9.45,6.144
4.82,7.155
5.68,6.563
13.98,5.604
13.15,6.153
4.45,7.831
6.68,6.782
4.56,6.556
5.39,7.185
5.1,6.951
4.69,6.739
2.87,7.178
5.03,6.8
4.38,6.604
2.97,7.875
4.08,7.287
8.61,7.107
6.62,7.274
4.56,6.975
4.45,7.135
7.43,6.162
3.11,7.61
3.81,7.853
2.88,8.034
10.87,5.891
10.97,6.326
18.06,5.783
14.66,6.064
23.09,5.344
17.27,5.96
23.98,5.404
16.03,5.807
9.38,6.375
29.55,5.412
9.47,6.182
13.51,5.888
9.69,6.642
17.92,5.951
10.5,6.373
9.71,6.951
21.46,6.164
9.93,6.879
7.6,6.618
4.14,8.266
4.63,8.725
3.13,8.04
6.36,7.163
3.92,7.686
3.76,6.552
11.65,5.981
5.25,7.412
2.47,8.337
3.95,8.247
8.05,6.726
10.88,6.086
9.54,6.631
4.73,7.358
6.36,6.481
7.37,6.606
11.38,6.897
12.4,6.095
11.22,6.358
5.19,6.393
12.5,5.593
18.46,5.605
9.16,6.108
10.15,6.226
9.52,6.433
